Anime_id,Title,Type,Rating,ScoredBy,Popularity,Members,Episodes,Source,Aired,Link,Genre,Producer,Studio
46,Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka,Movie,7.63,20921,2166,37273,1,Manga,20-Dec-97,https://myanimelist.net/anime/46/Rurouni_Kenshin__Meiji_Kenkaku_Romantan_-_Ishinshishi_e_no_Chinkonka,"['Samurai', 'Historical', 'Drama', 'Shounen']","['Fuji TV', 'Sony Music Entertainment']",['Studio Gallop']
47,Akira,Movie,8.16,190158,195,309004,1,Manga,16-Jul-88,https://myanimelist.net/anime/47/Akira,"['Action', 'Military', 'Sci-Fi', 'Adventure', 'Horror', 'Supernatural']","['Mainichi Broadcasting System', 'Kodansha', 'Toho']",['Tokyo Movie Shinsha']
48,.hack//Sign,TV,7.09,61438,771,129203,26,Original,"Apr 4, 2002 to Sep 26, 2002",https://myanimelist.net/anime/48/hack__Sign,"['Game', 'Sci-Fi', 'Adventure', 'Mystery', 'Magic', 'Fantasy']","['Bandai Visual', 'Yomiko Advertising', 'Bandai', 'CyberConnect2']",['Bee Train']
49,Aa! Megami-sama!,OVA,7.38,20917,2083,38999,5,Manga,"Feb 21, 1993 to May 17, 1994",https://myanimelist.net/anime/49/Aa_Megami-sama,"['Comedy', 'Magic', 'Romance', 'Seinen', 'Supernatural']","['Bandai Visual', 'KSS', 'Pony Canyon', 'TBS', 'Kodansha', 'Half H.P Studio', 'Nichion']",['AIC']
50,Aa! Megami-sama! (TV),TV,7.43,57230,902,111950,24,Manga,"Jan 7, 2005 to Jul 8, 2005",https://myanimelist.net/anime/50/Aa_Megami-sama_TV,"['Comedy', 'Supernatural', 'Magic', 'Romance', 'Seinen']","['Bandai Visual', 'TBS']",['AIC']
51,Tenshi Kinryouku,OVA,6.42,23142,2120,39332,3,Manga,"May 25, 2000 to Aug 25, 2000",https://myanimelist.net/anime/51/Tenshi_Kinryouku,"['Action', 'Drama', 'Romance', 'Shoujo', 'Supernatural']","['Bandai Visual', 'AIC', 'Lantis', 'Audio Tanaka']",['Hal Film Maker']
52,Kidou Tenshi Angelic Layer,TV,7.31,22155,1957,44193,26,Manga,"Apr 1, 2001 to Sep 23, 2001",https://myanimelist.net/anime/52/Kidou_Tenshi_Angelic_Layer,"['Sci-Fi', 'Comedy', 'Sports', 'Drama', 'Shounen']",['TV Tokyo Music'],['Bones']
53,Ai Yori Aoshi,TV,7.21,39120,1251,77802,24,Manga,"Apr 11, 2002 to Sep 26, 2002",https://myanimelist.net/anime/53/Ai_Yori_Aoshi,"['Comedy', 'Drama', 'Harem', 'Romance', 'Slice of Life']","['Movic', 'Fuji TV', 'Pioneer LDC', 'Cosmic Ray']",['J.C.Staff']
54,Appleseed (Movie),Movie,7.19,33806,1656,55642,1,Manga,17-Apr-04,https://myanimelist.net/anime/54/Appleseed_Movie,"['Action', 'Military', 'Sci-Fi', 'Police', 'Drama', 'Mecha', 'Shounen']","['Mainichi Broadcasting System', 'Toho', 'TYO Animations', 'TYO']",['Digital Frontier']
55,Arc the Lad,TV,6.6,4313,3864,11894,26,Game,"Apr 5, 1999 to Sep 11, 1999",https://myanimelist.net/anime/55/Arc_the_Lad,"['Action', 'Adventure', 'Fantasy', 'Horror', 'Sci-Fi']","['Sony Pictures Entertainment', 'Aniplex']",['Bee Train']
56,Avenger,TV,5.97,5304,3672,13734,13,Original,"Oct 2, 2003 to Dec 25, 2003",https://myanimelist.net/anime/56/Avenger,"['Adventure', 'Fantasy', 'Sci-Fi', 'Shounen']",['Production I.G'],"['Bee Train', 'Xebec']"
57,Beck,TV,8.37,86919,489,184445,26,Manga,"Oct 7, 2004 to Mar 31, 2005",https://myanimelist.net/anime/57/Beck,"['Comedy', 'Drama', 'Music', 'Shounen', 'Slice of Life']","['Marvelous', 'Starchild Records', 'Asatsu DK', 'Kodansha']",['Madhouse']
58,Blue Gender,TV,7.11,20557,1699,50597,26,Original,"Oct 8, 1999 to Mar 31, 2000",https://myanimelist.net/anime/58/Blue_Gender,"['Adventure', 'Romance', 'Mecha', 'Military', 'Sci-Fi', 'Horror', 'Space', 'Drama']","['Youmex', 'Toshiba EMI']",['AIC']
59,Chobits,TV,7.53,175227,260,317260,26,Manga,"Apr 3, 2002 to Sep 25, 2002",https://myanimelist.net/anime/59/Chobits,"['Sci-Fi', 'Comedy', 'Drama', 'Romance', 'Ecchi', 'Seinen']","['TBS', 'Pioneer LDC']",['Madhouse']
60,Chrno Crusade,TV,7.76,78730,593,165218,24,Manga,"Nov 25, 2003 to Jun 10, 2004",https://myanimelist.net/anime/60/Chrno_Crusade,"['Action', 'Historical', 'Demons', 'Supernatural', 'Romance']","['Lantis', 'Kadokawa Shoten', 'Fuji TV']",['Gonzo']
60,Chrno Crusade,TV,7.76,78730,593,165218,24,Manga,"Nov 25, 2003 to Jun 10, 2004",https://myanimelist.net/anime/60/Chrno_Crusade,"['Action', 'Historical', 'Demons', 'Supernatural', 'Romance']","['Lantis', 'Kadokawa Shoten', 'Fuji TV']",['Gonzo']
61,D.N.Angel,TV,7.31,75971,716,142935,26,Manga,"Apr 3, 2003 to Sep 25, 2003",https://myanimelist.net/anime/61/DNAngel,"['Action', 'Comedy', 'Magic', 'Romance', 'Fantasy', 'School', 'Shoujo']",['Kadokawa Shoten'],['Xebec']
62,D.C.: Da Capo,TV,6.87,24042,1620,56434,26,Visual novel,"Jul 5, 2003 to Dec 27, 2003",https://myanimelist.net/anime/62/DC__Da_Capo,"['Harem', 'Drama', 'Magic', 'Romance']","['Lantis', 'King Records']","['feel.', 'Zexcs']"
63,DearS,TV,6.74,59210,954,105654,12,Manga,"Jul 11, 2004 to Sep 26, 2004",https://myanimelist.net/anime/63/DearS,"['Sci-Fi', 'Harem', 'Comedy', 'Romance', 'Ecchi']","['Bandai Visual', 'Hal Film Maker', 'Genco', 'Lantis']",['Daume']
64,Rozen Maiden,TV,7.53,74244,678,148037,12,Manga,"Oct 8, 2004 to Dec 24, 2004",https://myanimelist.net/anime/64/Rozen_Maiden,"['Action', 'Comedy', 'Drama', 'Magic', 'Seinen']","['Mellow Head', 'Pony Canyon', 'TBS', 'Memory-Tech', 'Studio Jack']",['Nomad']
65,Rozen Maiden: Träumend,TV,7.74,47114,1225,81329,12,Manga,"Oct 21, 2005 to Jan 27, 2006",https://myanimelist.net/anime/65/Rozen_Maiden__Tr%C3%A4umend,"['Action', 'Comedy', 'Drama', 'Magic', 'Seinen']","['Mellow Head', 'TBS']",['Nomad']
66,Azumanga Daioh,TV,8.04,97220,450,203059,26,4-koma manga,"Apr 9, 2002 to Oct 1, 2002",https://myanimelist.net/anime/66/Azumanga_Daioh,"['Slice of Life', 'Comedy', 'School']","['Genco', 'Lantis', 'Imagica', 'TV Tokyo Music', 'Cosmic Ray', 'King Records']",['J.C.Staff']
67,Basilisk: Kouga Ninpou Chou,TV,7.66,54403,784,124967,24,Manga,"Apr 13, 2005 to Sep 21, 2005",https://myanimelist.net/anime/67/Basilisk__Kouga_Ninpou_Chou,"['Action', 'Adventure', 'Historical', 'Supernatural', 'Romance', 'Samurai', 'Fantasy']","['GDH', 'Kodansha', 'Sotsu Music Publishing']",['Gonzo']
68,Black Cat,TV,7.49,89095,525,181644,23,Manga,"Oct 7, 2005 to Mar 31, 2006",https://myanimelist.net/anime/68/Black_Cat,"['Adventure', 'Comedy', 'Sci-Fi', 'Shounen', 'Super Power']","['GDH', 'Dentsu', 'TBS', 'Sotsu Music Publishing']",['Gonzo']
69,Cluster Edge,TV,6.45,2183,4637,7831,25,Original,"Oct 5, 2005 to Mar 29, 2006",https://myanimelist.net/anime/69/Cluster_Edge,"['Action', 'Fantasy', 'Military', 'Sci-Fi']",['Bandai Visual'],['Sunrise']
71,Full Metal Panic!,TV,7.75,167246,244,317099,24,Light novel,"Jan 8, 2002 to Jun 18, 2002",https://myanimelist.net/anime/71/Full_Metal_Panic,"['Action', 'Military', 'Sci-Fi', 'Comedy', 'Mecha']",['Kadokawa Shoten'],['Gonzo']
71,Full Metal Panic!,TV,7.75,167246,244,317099,24,Light novel,"Jan 8, 2002 to Jun 18, 2002",https://myanimelist.net/anime/71/Full_Metal_Panic,"['Action', 'Military', 'Sci-Fi', 'Comedy', 'Mecha']",['Kadokawa Shoten'],['Gonzo']
72,Full Metal Panic? Fumoffu,TV,8.16,127214,452,203721,12,Light novel,"Aug 26, 2003 to Oct 18, 2003",https://myanimelist.net/anime/72/Full_Metal_Panic_Fumoffu,"['Action', 'Comedy', 'School']","['Tatsunoko Production', 'Kadokawa Shoten', 'Fuji TV', 'Imagica', 'Rakuonsha', 'Kadokawa Pictures Japan', 'KlockWorx', 'Happinet Pictures', 'Animation Do']",['Kyoto Animation']
73,Full Metal Panic! The Second Raid,TV,8.03,109315,520,184261,13,Light novel,"Jul 14, 2005 to Oct 20, 2005",https://myanimelist.net/anime/73/Full_Metal_Panic_The_Second_Raid,"['Action', 'Military', 'Mecha']","['Kadokawa Shoten', 'Happinet Pictures']",['Kyoto Animation']
74,Gakuen Alice,TV,7.77,33204,1477,62865,26,Manga,"Oct 30, 2004 to May 14, 2005",https://myanimelist.net/anime/74/Gakuen_Alice,"['Comedy', 'School', 'Shoujo', 'Super Power']","['Aniplex', 'Sogo Vision']",['Group TAC']
75,Soukyuu no Fafner: Dead Aggressor,TV,7.36,10469,2280,32492,25,Original,"Jul 5, 2004 to Dec 27, 2004",https://myanimelist.net/anime/75/Soukyuu_no_Fafner__Dead_Aggressor,"['Action', 'Drama', 'Mecha', 'Military', 'Sci-Fi']",['TV Tokyo Music'],['Xebec']
76,Mahou Shoujo Lyrical Nanoha,TV,7.49,31503,1325,73306,13,Original,"Oct 3, 2004 to Dec 26, 2004",https://myanimelist.net/anime/76/Mahou_Shoujo_Lyrical_Nanoha,"['Action', 'Comedy', 'Drama', 'Magic', 'Super Power']","['Starchild Records', 'Omnibus Japan']",['Seven Arcs']
77,Mahou Shoujo Lyrical Nanoha A's,TV,8.07,25763,1825,47811,13,Original,"Oct 2, 2005 to Dec 25, 2005",https://myanimelist.net/anime/77/Mahou_Shoujo_Lyrical_Nanoha_As,"['Action', 'Comedy', 'Drama', 'Magic', 'Super Power']","['Starchild Records', 'Omnibus Japan']",['Seven Arcs']
79,Shuffle!,TV,7.24,96970,496,190598,24,Visual novel,"Jul 8, 2005 to Jan 6, 2006",https://myanimelist.net/anime/79/Shuffle,"['Comedy', 'Drama', 'Ecchi', 'Fantasy', 'Harem', 'Magic', 'Romance', 'School', 'Seinen']","['Lantis', 'Memory-Tech']","['Xebec', 'Asread']"
80,Mobile Suit Gundam,TV,7.87,29261,1332,66802,43,Original,"Apr 7, 1979 to Jan 26, 1980",https://myanimelist.net/anime/80/Mobile_Suit_Gundam,"['Action', 'Space', 'Mecha', 'Military', 'Sci-Fi']","['Sotsu', 'Nagoya TV Housou']",['Sunrise']
81,Mobile Suit Gundam: The 08th MS Team,OVA,8.1,24816,1803,44047,12,Original,"Jan 25, 1996 to Jul 25, 1999",https://myanimelist.net/anime/81/Mobile_Suit_Gundam__The_08th_MS_Team,"['Military', 'Sci-Fi', 'Adventure', 'Drama', 'Romance', 'Mecha']",['Atelier Musa'],['Sunrise']
82,Mobile Suit Gundam 0080: War in the Pocket,OVA,7.87,16209,2298,29545,6,Original,"Mar 25, 1989 to Aug 25, 1989",https://myanimelist.net/anime/82/Mobile_Suit_Gundam_0080__War_in_the_Pocket,"['Military', 'Sci-Fi', 'Space', 'Drama', 'Mecha']",['Bandai Visual'],['Sunrise']
83,Mobile Suit Gundam: The 08th MS Team - Miller's Report,Movie,6.92,4800,4260,9344,1,Original,1-Aug-98,https://myanimelist.net/anime/83/Mobile_Suit_Gundam__The_08th_MS_Team_-_Millers_Report,"['Military', 'Sci-Fi', 'Drama', 'Romance', 'Mecha']","['Sotsu', 'Atelier Musa']",['Sunrise']
84,Mobile Suit Gundam 0083: Stardust Memory,OVA,7.42,14133,2594,24894,13,Original,"May 23, 1991 to Sep 24, 1992",https://myanimelist.net/anime/84/Mobile_Suit_Gundam_0083__Stardust_Memory,"['Military', 'Sci-Fi', 'Adventure', 'Space', 'Drama', 'Romance', 'Mecha']",['Bandai Visual'],['Sunrise']
85,Mobile Suit Zeta Gundam,TV,8.02,18568,2016,37251,50,Original,"Mar 2, 1985 to Feb 22, 1986",https://myanimelist.net/anime/85/Mobile_Suit_Zeta_Gundam,"['Military', 'Sci-Fi', 'Space', 'Drama', 'Romance', 'Mecha']","['Sotsu', 'Nagoya TV Housou']",['Sunrise']
86,Mobile Suit Gundam ZZ,TV,6.76,10131,2762,21830,47,Original,"Mar 1, 1986 to Jan 31, 1987",https://myanimelist.net/anime/86/Mobile_Suit_Gundam_ZZ,"['Space', 'Comedy', 'Mecha', 'Military', 'Drama', 'Sci-Fi']","['Sotsu', 'Nagoya TV Housou']",['Sunrise']
87,Mobile Suit Gundam: Char's Counterattack,Movie,7.77,13934,2604,24100,1,Novel,12-Mar-88,https://myanimelist.net/anime/87/Mobile_Suit_Gundam__Chars_Counterattack,"['Military', 'Sci-Fi', 'Space', 'Drama', 'Mecha']","['Sotsu', 'Nozomi Entertainment', 'Atelier Musa']","['Sunrise', 'Studio Hibari']"
87,Mobile Suit Gundam: Char's Counterattack,Movie,7.77,13934,2603,24100,1,Novel,12-Mar-88,https://myanimelist.net/anime/87/Mobile_Suit_Gundam__Chars_Counterattack,"['Military', 'Sci-Fi', 'Space', 'Drama', 'Mecha']","['Sotsu', 'Nozomi Entertainment', 'Atelier Musa']","['Sunrise', 'Studio Hibari']"
88,Mobile Suit Gundam F91,Movie,6.81,9124,3208,16606,1,Unknown,16-Mar-91,https://myanimelist.net/anime/88/Mobile_Suit_Gundam_F91,"['Military', 'Sci-Fi', 'Space', 'Drama', 'Mecha']","['Sotsu', 'Shochiku', 'Atelier Musa', 'Nagoya TV Housou']",['Sunrise']
89,Mobile Suit Victory Gundam,TV,6.89,5743,3353,15437,51,Original,"Apr 2, 1993 to Mar 25, 1994",https://myanimelist.net/anime/89/Mobile_Suit_Victory_Gundam,"['Military', 'Sci-Fi', 'Space', 'Drama', 'Mecha']","['TV Asahi', 'Sotsu', 'Apollon']","['Sunrise', 'Studio Deen']"
90,Mobile Suit Gundam Wing,TV,7.84,59837,968,102695,49,Original,"Apr 7, 1995 to Mar 29, 1996",https://myanimelist.net/anime/90/Mobile_Suit_Gundam_Wing,"['Action', 'Military', 'Sci-Fi', 'Space', 'Drama', 'Mecha']",['TV Asahi'],['Sunrise']
91,Mobile Suit Gundam Wing: Endless Waltz,OVA,7.86,19807,2288,33070,3,Original,"Jan 25, 1997 to Jul 25, 1997",https://myanimelist.net/anime/91/Mobile_Suit_Gundam_Wing__Endless_Waltz,"['Action', 'Drama', 'Mecha', 'Military', 'Sci-Fi', 'Space']","['Bandai Visual', 'Sotsu']",['Sunrise']
92,After War Gundam X,TV,7.38,9860,2802,22432,39,Original,"Apr 5, 1996 to Dec 28, 1996",https://myanimelist.net/anime/92/After_War_Gundam_X,"['Sci-Fi', 'Adventure', 'Space', 'Drama', 'Mecha']","['TV Asahi', 'Sotsu']",['Sunrise']
93,Mobile Suit Gundam SEED,TV,7.88,65828,894,113769,50,Original,"Oct 5, 2002 to Sep 27, 2003",https://myanimelist.net/anime/93/Mobile_Suit_Gundam_SEED,"['Action', 'Space', 'Mecha', 'Romance', 'Military', 'Drama', 'Sci-Fi']","['Sotsu', 'Asatsu DK', 'Mainichi Broadcasting System', 'Sony Music Entertainment', 'Atelier Musa']",['Sunrise']
94,Mobile Suit Gundam SEED Destiny,TV,7.32,46155,1319,75184,50,Original,"Oct 9, 2004 to Oct 1, 2005",https://myanimelist.net/anime/94/Mobile_Suit_Gundam_SEED_Destiny,"['Action', 'Space', 'Mecha', 'Romance', 'Military', 'Drama', 'Sci-Fi']","['Sotsu', 'Mainichi Broadcasting System', 'Sony Music Entertainment']",['Sunrise']
95,Turn A Gundam,TV,7.75,8619,2548,25363,50,Original,"Apr 9, 1999 to Apr 14, 2000",https://myanimelist.net/anime/95/Turn_A_Gundam,"['Action', 'Military', 'Sci-Fi', 'Adventure', 'Space', 'Drama', 'Romance', 'Mecha']","['Sotsu', 'Fuji TV']","['Sunrise', 'Nakamura Production']"
95,Turn A Gundam,TV,7.75,8619,2544,25363,50,Original,"Apr 9, 1999 to Apr 14, 2000",https://myanimelist.net/anime/95/Turn_A_Gundam,"['Action', 'Military', 'Sci-Fi', 'Adventure', 'Space', 'Drama', 'Romance', 'Mecha']","['Sotsu', 'Fuji TV']","['Sunrise', 'Nakamura Production']"
96,Mobile Fighter G Gundam,TV,7.61,23961,1910,43223,49,Original,"Apr 1, 1994 to Mar 31, 1995",https://myanimelist.net/anime/96/Mobile_Fighter_G_Gundam,"['Sci-Fi', 'Adventure', 'Space', 'Comedy', 'Sports', 'Drama', 'Romance', 'Martial Arts', 'Mecha']","['TV Asahi', 'Sotsu']",['Sunrise']
97,Last Exile,TV,7.9,53498,810,122802,26,Original,"Apr 8, 2003 to Sep 30, 2003",https://myanimelist.net/anime/97/Last_Exile,"['Action', 'Sci-Fi', 'Adventure']","['GDH', 'Victor Entertainment', 'TV Tokyo Music']",['Gonzo']
98,Mai-HiME,TV,7.55,41234,1158,85965,26,Original,"Sep 30, 2004 to Mar 31, 2005",https://myanimelist.net/anime/98/Mai-HiME,"['Action', 'Comedy', 'Drama', 'Fantasy', 'Magic', 'Mecha', 'Romance', 'School', 'Shoujo Ai']","['Bandai Visual', 'TV Tokyo Music', 'Studio Zain']",['Sunrise']
99,Mai-Otome,TV,7.37,20942,2078,40418,26,Original,"Oct 7, 2005 to Mar 31, 2006",https://myanimelist.net/anime/99/Mai-Otome,"['Comedy', 'Drama', 'Fantasy', 'Magic']","['Bandai Visual', 'Lantis', 'TV Tokyo Music']",['Sunrise']
100,Shin Shirayuki-hime Densetsu Prétear,TV,7.3,20937,1943,43399,13,Manga,"Apr 4, 2001 to Jun 27, 2001",https://myanimelist.net/anime/100/Shin_Shirayuki-hime_Densetsu_Pr%C3%A9tear,"['Comedy', 'Drama', 'Fantasy', 'Magic', 'Romance', 'Shoujo', 'Super Power']","['Kadokawa Shoten', 'Rondo Robe']",['Hal Film Maker']
101,Air,TV,7.42,116877,429,215322,12,Visual novel,"Jan 7, 2005 to Mar 25, 2005",https://myanimelist.net/anime/101/Air,"['Slice of Life', 'Supernatural', 'Drama', 'Romance']","['Pony Canyon', 'TBS', 'Movic']",['Kyoto Animation']
102,Aishiteruze Baby★★,TV,7.55,39274,1328,73834,26,Manga,"Apr 3, 2004 to Oct 9, 2004",https://myanimelist.net/anime/102/Aishiteruze_Baby%E2%98%85%E2%98%85,"['Comedy', 'Drama', 'Romance', 'Shoujo']","['Animax', 'Toei Video', 'Sunny Side Up']",['TMS Entertainment']
